Title,Rooms,Price,Size,Type,Year,Location
5H 115m² Metsäkulmantie 148 Harjavalta,5H,39000,115,Omakotitalo,1950,Satakunta
Vantaa Mikkola Marsinkuja 6 1hkketkph,1H,75000,33,Kerrostalo,1972,Uusimaa
7H 234m² Aurakatu 15 B Turku,7H,1500000,234,Kerrostalo,1906,Varsinais-Suomi
2H 47m² Kaupintie 18 A Helsinki,2H,195000,47,Kerrostalo,1985,Uusimaa
3H 695m² Kanneltie 4 G Helsinki,3H,259000,69,Kerrostalo,1961,Uusimaa
5H 135m² Metsästystie 9 Parainen,5H,99000,135,Omakotitalo,1967,Varsinais-Suomi
2H 40m² Ryytimaankuja 3 B Helsinki,2H,272000,40,Kerrostalo,1956,Uusimaa
Espoo Tillinmäki Tillinmaanpuisto 14 A 45havok,5H,798000,128,Omakotitalo,2018,Uusimaa
2H 615m² Jyrkänkatu 13 C 24 Lahti,2H,79000,61,Kerrostalo,1974,Päijät-Häme
5H 137m² Lammastie 18 B Vantaa,5H,298000,137,Rivitalo,1973,Uusimaa
Raasepori Tammisaari Tenholantie 18 6h k kph wc,6H,259000,180,Omakotitalo,1950,Uusimaa
Uusikaupunki Keskusta Blasieholmankatu 8 3hkeitti,3H,159000,107,Rivitalo,1989,Varsinais-Suomi
2H 57m² Sahanmäenkuja 4 Helsinki,2H,459000,57,Kerrostalo,2015,Uusimaa
Helsinki Tammisalo Leppisaarentie 6 5h  k,5H,595000,170,Rivitalo,1972,Uusimaa
1H 32m² Laajaniityntie 8 Vantaa,1H,113000,32,Kerrostalo,1970,Uusimaa
2H 59m² Jussaksentie 6 Sipoo,2H,99000,59,Kerrostalo,1978,Uusimaa
4H 94m² Lintulankuja 2 b Naantali,4H,155000,94,Kerrostalo,1971,Varsinais-Suomi
2H 58m² Laivurinkatu 5 Porvoo,2H,155000,58,Kerrostalo,1964,Uusimaa
4H 82m² Korvatie 5 A Oulu,4H,216500,82,Rivitalo,1997,Pohjois-Pohjanmaa
5H 1407m² Lapinjärventie 108 Loviisa,5H,219000,140,Omakotitalo,1995,Uusimaa
5H 92m² Mäkimikontie 97 Rovaniemi,5H,265000,92,Omakotitalo,2012,Lappi
2H 33m² Kirkkoherrantie 5 Helsinki,2H,190000,33,Kerrostalo,1962,Uusimaa
5H 121m² Hanhitie 14 B Vantaa,5H,399000,121,Omakotitalo,2009,Uusimaa
1H 29m² Hämeentie 8183 Helsinki,1H,209000,29,Kerrostalo,1958,Uusimaa
3H 60m² Kettutie 4 Helsinki,3H,348000,60,Kerrostalo,1956,Uusimaa
2H 42m² Keijukaistenpolku 11 Helsinki,2H,235000,42,Kerrostalo,1956,Uusimaa
Helsinki Kallio Pengerkatu 7 1havokalkovikpher,1H,305000,46,Kerrostalo,1932,Uusimaa
Lahti Asemantausta Vaaksakatu 5 2h k kph s las,2H,139000,60,Luhtitalo,1989,Päijät-Häme
2H 455m² Gammelbackantie 3 Porvoo,2H,129000,45,Kerrostalo,1967,Uusimaa
Jämsä Ahvenlammi Haukikuja 5 4h k s ak,4H,79000,86,Omakotitalo,1987,Keski-Suomi
Helsinki Pihlajamäki Vuolukiventie 9 2hkkhp,2H,148000,58,Kerrostalo,1964,Uusimaa
Ylöjärvi Haavisto Vaeltajantie 2 4hks,4H,258000,90,Rivitalo,2012,Pirkanmaa
3H 56m² Tuomisentie 5 Vaasa,3H,50000,56,Rivitalo,1978,Pohjanmaa
Kerava Untola Kaukonpolku 2 2hk,2H,118000,52,Kerrostalo,1983,Uusimaa
3H 68m² Tietäjänkatu 13 B Lappeenranta,3H,175000,68,Kerrostalo,1994,Etelä-Karjala
Espoo Lippajärvi Kolkekannas Lipparinne 1 C 27 3h,3H,198000,69,Kerrostalo,1969,Uusimaa
2H 56m² Urheilutie 4 B Sipoo,2H,149000,56,Rivitalo,1995,Uusimaa
4H 85m² Hallituskatu 30 Oulu,4H,159000,85,Kerrostalo,1965,Pohjois-Pohjanmaa
5H 131m² Kolohaavantie 21 Jyväskylä,5H,369000,131,Omakotitalo,2014,Keski-Suomi
3H 725m² Ilmarisenkuja 3 Loviisa,3H,109000,72,Kerrostalo,2008,Uusimaa
3H 935m² Sepänkatu 46 B Joensuu,3H,134000,93,Rivitalo,1975,Pohjois-Karjala
1H 295m² Ristinarkunaukio 2 C Tampere,1H,157000,29,Kerrostalo,2020,Pirkanmaa
3H 100m² Koskipolku 2 Pori,3H,89000,100,Omakotitalo,1915,Satakunta
5H 120m² Luhastontie 1 B Liminka,5H,284000,120,Omakotitalo,2013,Pohjois-Pohjanmaa
3H 755m² Pohjanrinteentie 1 Jyväskylä,3H,138000,75,Rivitalo,1988,Keski-Suomi
5H 116m² Rastaankatu 12 Lappeenranta,5H,189000,116,Omakotitalo,1987,Etelä-Karjala
2H 51m² Koulukatu 70 B Vaasa,2H,105000,51,Kerrostalo,1966,Pohjanmaa
2H 60m² Kastanjakatu 3 Lahti,2H,79000,60,Kerrostalo,1990,Päijät-Häme
Isokyrö Tervajoki Korventie 227 1h tupakettiö wc,1H,64000,28,Omakotitalo,2004,Etelä-Pohjanmaa
2H 60m² Lampikuja 2 B Ii,2H,43000,60,Rivitalo,1973,Pohjois-Pohjanmaa
Uusikaupunki Hiu Hakapihankuja 4 3hkkphwckhhs,3H,270000,87,Omakotitalo,2018,Varsinais-Suomi
2H 59m² Pälvimutka 1 D Kouvola,2H,85000,59,Rivitalo,1989,Kymenlaakso
3H 72m² Halmekatu 6 Jyväskylä,3H,79000,72,Kerrostalo,1965,Keski-Suomi
3H 68m² Kannelkatu 2 A Lappeenranta,3H,129000,68,Kerrostalo,1980,Etelä-Karjala
6H 214m² Norppatie 14 A Vantaa,6H,369000,214,Omakotitalo,1990,Uusimaa
Rovaniemi Keskusta Valtakatu 26 4h k,4H,215000,84,Kerrostalo,1957,Lappi
3H 78m² Lauttasaarentie 28 Helsinki,3H,741000,78,Kerrostalo,2016,Uusimaa
3H 77m² Viikinkitie Porvoo,3H,159000,77,Rivitalo,1974,Uusimaa
3H 78m² Alppikylänkatu 6 Helsinki,3H,318000,78,Rivitalo,2016,Uusimaa
5H 120m² Kasöörintie 4 Raahe,5H,189000,120,Omakotitalo,1992,Pohjois-Pohjanmaa
3H 615m² Toivoniementie 10 Oulu,3H,185000,61,Kerrostalo,1956,Pohjois-Pohjanmaa
2H 53m² Luotsikatu 12 A Vaasa,2H,132500,53,Rivitalo,1936,Pohjanmaa
